name,date,year,director,prod,composer,cast_mem
Adhurs,January,2010.0,V.V. Vinayak,"Annapurna Studios, Vaishnavi Arts",Devi Sri Prasad,"N.T. Rama Rao Jr., Nayanthara, Sheela Kaur, Brahmanandam, Mahesh Manjrekar, Nassar, Vinaya Prasad, Ashish Vidyarthi, Sayaji Shinde, Tanikella Bharani"
Sambo Siva Sambho,January,2010.0,Samuthirakani,Sri Saiganesh Productions,Sundar.C. Babu,"Ravi Teja, Allari Naresh, Siva Balaji, Roja, Sunil, Priyamani, Aahuthi Prasad, Sudha, Tanikella Bharani, Krishna Bhagavan"
Namo Venkatesa,January,2010.0,Sreenu Vaitla,"14 Reels Entertainment, Aditya Music, Suresh Productions",Devi Sri Prasad,"Venkatesh Daggubati, Trisha Krishnan, Brahmanandam, Mukesh Rishi, Kota Srinivasa Rao, Jayaprakash Reddy, Jeeva, Mohammad Ali, Jai Akash, Aravind"
Om Shanti,January,2010.0,Prakash Dantuluri,"Goldmines Telefilms, Three Angels Studio",Ilaiyaraaja,"Kajal Aggarwal, Madhavan, Nikhil Siddharth, Navdeep, Aditi Sharma, Bindhu Madhavi, Murali Mohan, Raghu Babu, Ravi Kale, Tanikella Bharani"
Seetharamula Kalyanam Lankalo,January,2010.0,"G. Eshwar Reddy, Y. Eshwara Reddy",Wellfare Creations,Chinna,"Nithiin, Hansika Motwani, Suman, Saleem Baig, Chandramohan, Pragathi, Jayaprakash Reddy, Brahmanandam, Mohammad Ali, Subbaraju"
Maa Nanna Chiranjeevi,January,2010.0,Arun Prasad,Laughing Lord Entertainments,Hemachandra Vedala,"Jagapathi Babu, Mohammad Ali, Alutit, Neelima Azim, Brahmanandam, Jhansi, M.S. Narayana, Satyam Rajesh, Jayaprakash Reddy, Telangana Sakuntala"
Ye Maaya Chesave,February,2010.0,Gautham Vasudev Menon,Indira Productions,A.R. Rahman,"Naga Chaitanya Akkineni, Samantha Ruth Prabhu, Krishnudu, Sanjay Swaroop, Devan, Lakshmy Ramakrishnan, Puri Jagannadh, Sudheer Babu Posani, Surekha Vani, Sapan Saran"
Leader,February,2010.0,Sekhar Kammula,A.V.M. Productions,Mickey J. Meyer,"Rana Daggubati, Richa Langella, Priya Anand, Joy Badlani, Tanikella Bharani, Sravanthi Chokkarapu, Vishwas Hannurkar, Harshavardhan, Aahuthi Prasad, Rao Ramesh"
Kedi,February,2010.0,Kiran Kumar,"Kamakshi Studio, Annapurna Studios",Sandeep Chowta,"Nagarjuna Akkineni, Mamta Mohandas, Sayaji Shinde, Ankur Vikal, Linda Arsenio, Harshavardhan, Brahmanandam, Akhilendra Mishra, Anushka Shetty, Nirmal Pandey"
Bindaas,February,2010.0,Veeru Potla,"A.K. Entertainments India, AK Entertainments",Chinna,"Manoj Kumar Manchu, Sheena Shahabadi, Raghu Babu, Banerjee, Benerjee, Bhanuchander, Brahmanandam, Rashmi Gautam, Vajja Venkata Giridhar, Jeeva"
Inkosari,February,2010.0,Suman Pathuri,Bay Movies,Mahesh Shankar,"Raja, Manjari Fadnnis, Richa Pallod, Vennela Kishore, Sayali Bhagat, Rao Ramesh, Saandip, Harish, Gollapudi Maruthi Rao, Ravi Varma"
Kalavar King,February,2010.0,Suresh,Sai Krishna Productions,Anil R.,"Nikhil Siddharth, Shweta Basu Prasad, Ajay, Suman Shetty, Mohammad Ali, Raghu Babu, Dharmavarapu Subramanyam, Venu Madhav, Aahuthi Prasad, Duvvasi Mohan"
Varudu,March,2010.0,Gunasekhar,"Thameens, Universal Media",Mani Sharma,"Allu Arjun, Arya, Bhanu Sri Mehra, Suhasini, Ashish Vidyarthi, V.K. Naresh, Sneha Ullal, Vinaya Prasad, Kishori Ballal, Nassar"
Saadhyam,March,2010.0,Karthikeya Gopalakrishna,Kumar Brothers Cinema,Chinni Charan,"Jagapathi Babu, Priyamani, Keerthi Chawla, Kota Srinivasa Rao, Tanikella Bharani, Pragathi"
Taj Mahal,March,2010.0,Arun Singaraju,Sri Sivaji Productions,Abhimanyu Roy,"Aarthi Agarwal, Raghu Babu, Brahmanandam, Jeeva, Venu Madhav, D. Rama Naidu, M.S. Narayana, Nassar, Kota Srinivasa Rao, Chitram Seenu"
Maro Charitra,March,2010.0,Ravi Yadav,"Matinee Entertainments, Sri Venkateswara Creations",Mickey J. Meyer,"Aadarsh Balakrishna, Shraddha Das, Anita Galler, V.K. Naresh, Prathap Pothen, Kota Srinivasa Rao, Janaki Sabesh, Varun Sandesh, Urvashi, Thalaivasal Vijay"
Dammunnodu,March,2010.0,B.V.V. Chowdhary,"Hotechilly Entertainment, Lachuram Productions, U.K. Avenues",Chakri,"Richard Rishi, Sowmya, Arti Puri, Rahul Dev, Rami Reddy, Nassar, Pooja Bharti, Kallu Chidambaram, Ram Jagan, Atluri Pundari Kakshaiah"
Yagam,March,2010.0,P.A. Arun Prasad,Downtown Films,Mani Sharma,"Ajay, Mohammad Ali, Brahmanandam, Bhoomika Chawla, Rahul Dev, Harshavardhan, Navdeep, Kim Sharma"
Aakasa Ramanna,March,2010.0,Ashok G.,Manyam Entertainments,Chakri,"Allari Naresh, Rajeev Kanakala, Sivaji, Meera Jasmine, Venu Madhav, Gowri Pandit, Srinivasa Reddy, Satyam Rajesh, Nagendra Babu, Raghu Babu"
Prasthanam,April,2010.0,Deva Katta,VRC Media and Entertainment,Mahesh Shankar,"Sharwanand, Sai Kumar, Sundeep Kishan, Ruby Parihar, Rashmi Gautam, Jeeva, Vennela Kishore, Pavitra Lokesh, Prudhviraj, Dil Ramesh"
Darling,April,2010.0,A. Karunakaran,"Goldmines Telefilms, Sri Venkateswara Cine Chitra",G.V. Prakash Kumar,"Prabhas, Kajal Aggarwal, Prabhu, Tulasi, Shraddha Das, Aahuthi Prasad, Mukesh Rishi, Kota Srinivasa Rao, M.S. Narayana, Chandramohan"
Simha,April,2010.0,Boyapati Srinu,"United Movies, Goldmines Telefilms",Chakri,"Nandamuri Balakrishna, Nayanthara, Sneha Ullal, Namitha, Rehman, Saikumar, K.R. Vijaya, Adithya Menon, Brahmanandam, Kota Srinivasa Rao"
Betting Bangarraju,April,2010.0,E. Satthi Babu,Usha Kiron Movies,Sekhar Chandra,"Allari Naresh, Surekha Vani, Kota Srinivasa Rao, Raghu Babu, Krishna Bhagavan, Chalapathi Rao, Hema, Giri Babu, L.B. Sriram, Nidhi"
Golimar,May,2010.0,Puri Jagannadh,"Aditya Music, Sri Saiganesh Productions",Chakri,"Gopichand, Priyamani, Roja, Nassar, Mohammad Ali, Kelly Dorji, Shawar Ali, Jeeva, Mukhtar Khan, M.S. Narayana"
Rama Rama Krishna Krishna,May,2010.0,Sriwass,Sri Venkateswara Creations,M.M. Keeravani,"Ram Pothineni, Priya Anand, Bindhu Madhavi, Arjun Sarja, Gracy Singh, Banerjee, Brahmaji, Brahmanandam, Vajja Venkata Giridhar, Bharat Kumar"
Andari Bandhuvaya,May,2010.0,Chandra Siddhartha,"Filmotsav Studios, Goldmines Telefilms, Utopia Entertainers",Anup Rubens,"Sharwanand, Padmapriya, Jeeva, Pragathi, V.K. Naresh, Duvvasi Mohan, Krishna Bhagavan, Anand, Priyanka Nalkari, Vijaya Sai"
Chalaki,May,2010.0,K. Madesha,Aditya Arts,V. Harikrishna,"Roma Asrani, Aditya Babu, Brahmanandam, Bianca Desai, Rashmi Gautam, Vennela Kishore, Aahuthi Prasad, Suman Shetty"
Vedam,June,2010.0,Radha Krishna Jagarlamudi,"Arka Mediaworks, Goldmines Telefilms",M.M. Keeravani,"Allu Arjun, Anushka Shetty, Manoj Kumar Manchu, Manoj Bajpayee, Nagayya, Deeksha Seth, Lekha Washington, Brahmanandam, Siya, Satyam Rajesh"
Panchakshari,June,2010.0,Samudra V.,"Aditya Music, HPR Entertainment, Sairatna Creations",Chinna,"Anushka Shetty, Samrat, Pradeep Singh Rawat, Nassar, Chandramohan, Jeeva, Brahmanandam, Mohammad Ali, M.S. Narayana, Shaila"
Pappu,June,2010.0,Sapan Pasuparthi,Aarya Entertainment,Phani Kalyan,"Krishnudu, Subbaraju, Dipika Parmar, Melkote, Banerjee, Uttej, Surya, Narsing Yadav, Malladi Raghava, Gundu Hanumantha Rao"
Jhummandi Naadam,July,2010.0,K. Raghavendra Rao,Sree Lakshmi Prasanna Pictures,M.M. Keeravani,"Manoj Kumar Manchu, Taapsee Pannu, Mohammad Ali, Ananth, Mohan Babu, Raghu Babu, Tanikella Bharani, Brahmanandam, Raghu Kunche, M.S. Narayana"
Maryada Ramanna,July,2010.0,S.S. Rajamouli,Arka Mediaworks,M.M. Keeravani,"Sunil, Saloni Aswani, Nagineedu, Brahmaji, Supreet, Venugopal, Ravi Teja, Anuj Gurwara, Sandhya Janak, Jayavani"
Sneha Geetham,July,2010.0,Madhura Sreedhar,Larsco Entertainment,Chinna,"Shreya Dhanwanthary, Vennela Kishore, Venu Madhav, Sundeep Kishan, Venkee, Chaitanya, Ria, Krishnudu, Melkote, Suhani"
Subhapradam,July,2010.0,K. Viswanath,Sri Rajarajeswari Films,Mani Sharma,"Manjari Fadnnis, Allari Naresh, Sarath Babu, Dharmavarapu Subramanyam, Rallapalli, Giri Babu, S.P. Balasubrahmanyam, Raghu Babu, A.V.S. Subramanyam, Devadas Kanakala"
Brahmalokam to Yamalokam Via Bhoolokam,July,2010.0,G. Nageswara Rao,Lucky Media,M.M. Srilekha,"Rajendra Prasad, Sivaji, Sonia, Kaveri, Aarthi Agarwal, Laya, Raghu Babu, Venu Madhav, Jayaprakash Reddy, A.V.S. Subramanyam"
Em Pillo Em Pillado,July,2010.0,A.S. Ravi Kumar Chowdary,Eetharam Films,Mani Sharma,"Tanish, Pranitha Subhash, Chandramohan, Ramaprabha, Aahuthi Prasad, Pragathi, Charan Raj"
Don Seenu,August,2010.0,Gopichand Malineni,"Aditya Music, RR Moviemakers, Raaju Cinemas",Mani Sharma,"Ravi Teja, Shriya Saran, Srihari, Sayaji Shinde, Anjana Sukhani, Kasthuri Shankar, Brahmanandam, Mohammad Ali, Mahesh Manjrekar, John Kokken"
Sye Aata,August,2010.0,K.R.K. Pavan,Kanipakam Creations,Devi Sri Prasad,"Ajay, Mohammad Ali, Chalapathi Rao, Charmme Kaur, M.S. Narayana, Nazar, Siva Prasad, Ramaprabha, Rao Ramesh, Kota Srinivasa Rao"
Happy Happy Ga,August,2010.0,Priya Sharan,"Goldmines Telefilms, Sri Ranjith Movies",Mani Sharma,"Varun Sandesh, Vega, Saranya Mohan, Mohammad Ali, M.S. Narayana, Telangana Sakuntala, Rajitha, Leena Sidhu"
Komaram Puli,September,2010.0,S.J. Suryah,Sri Kanakaratna Movies,A.R. Rahman,"Manoj Bajpayee, Shriya Saran, Pawan Kalyan, Saranya Ponvannan, Nassar, Girish Karnad, Mohammad Ali, Cochin Hanifa, Kovai Sarala, Nikesha Patel"
Saradaga Kasepu,September,2010.0,Vamsy,Sri Keerthi Creations,Chakri,"Allari Naresh, Srinivas Avasarala, Nyra Banerjee, Aahuthi Prasad, Krishna Bhagavan, M.S. Narayana, Jayaprakash Reddy, Jeeva, Lakshman Rao Kondavalasa, Narsing Yadav"
Gaayam 2,September,2010.0,Praveen Sri,Kartha Creations,Ilaiyaraaja,"Jagapathi Babu, Vimala Raman, Kota Srinivasa Rao, Kota Prasad, Tanikella Bharani, Harshavardhan, Revathi, Jeeva, Ajay, Ravi Kale"
Thakita Thakita,September,2010.0,Srihari Nanu,Downtown Films,Bobo Shashi,"Bhoomika Chawla, Nagarjuna Akkineni, Anushka Shetty, Harshvardhan Rane, Karthik Sabesh, Haripriya, Ananth Krishnamurthy, Trilok, Eva Ellis, Aditi Chengappa"
Oka Ammayi Oka Abbayi,September,2010.0,Ram Kumar,Ancy Art Creations,Varikuppala Yadagiri,"Krishna, Vishwas Hannurkar, Lakshmi Sharma, Roop Kaur, Chandramohan, Kavitha, Surya"
Brindaavanam,October,2010.0,Vamshi Paidipally,"Sri Venkateswara Creations, Goldmines Telefilms",S. Thaman,"N.T. Rama Rao Jr., Kajal Aggarwal, Samantha Ruth Prabhu, Prakash Raj, Srihari, Kota Srinivasa Rao, Mukesh Rishi, Pragathi, Ajay, Tanikella Bharani"
Khaleja,October,2010.0,Trivikram Srinivas,Sri Kanakaratna Movies,Mani Sharma,"Mahesh Babu, Anushka Shetty, Prakash Raj, Brahmanandam, Tanikella Bharani, Sunil, Rao Ramesh, Mohammad Ali, Amit Tiwari, M.S. Narayana"
Baava,October,2010.0,Rambabu,Sri Keerthi Creations,Chakri,"Siddharth, Rajendra Prasad, Pranitha Subhash, Raghu Babu, Tanikella Bharani, Aahuthi Prasad, Sindhu Tolani, Samrat, Mohammad Ali, Brahmanandam"
Orange,November,2010.0,Bommarillu Baskar,Anjana Productions,Harris Jayaraj,"Ram Charan, Genelia Deshmukh, Shazahn Padamsee, Prabhu, Brahmanandam, Prakash Raj, Nagendra Babu, Banerjee, Sanjay Swaroop, Srinivas Avasarala"
Kalyan Ram Kathi,November,2010.0,Mallikarjuna Malli,NTR Arts,Mani Sharma,"Nandamuri Kalyan Ram, Sana Khan, Shaam, Saranya Mohan, Chandramohan, Kota Srinivasa Rao, Aahuthi Prasad, Brahmanandam, Ajay, Raghu Babu"
Yemaindi Ee Vela,November,2010.0,Sampath Nandi,Sri Sathya Sai Arts,Chakri,"Varun Sandesh, Nisha Agarwal, Jhansi, Vennela Kishore, Pragathi, Krishna Bhagavan, Gururaj Manepalli, M.S. Narayana, Varanasi Soumya"
Ragada,December,2010.0,Veeru Potla,Kamakshi Studio,S. Thaman,"Nagarjuna Akkineni, Anushka Shetty, Priyamani, Pradeep Singh Rawat, Kota Srinivasa Rao, Dev Gill, Dharmavarapu Subramanyam, Brahmanandam, Bharat Kumar, Raghu Babu"
Nagavalli,December,2010.0,P. Vasu,Sri Saiganesh Productions,Gurukiran,"Venkatesh Daggubati, Anushka Shetty, Richa Langella, Kamalinee Mukherjee, Shraddha Das, Poonam Kaur, Brahmanandam, Dharmavarapu Subramanyam, Sarath Babu, Saira Bhanu"
Mansara,December,2010.0,Ravi Babu,Moving Images,Sekhar Chandra,"Annapoorna, Bhanuchander, Sri Divya, M.S. Narayana, Ravi Prakash, Sriteja Prassadh, Vikram, George Vincent"
Aalasyam Amrutham,December,2010.0,Chandra Mahesh,Suresh Productions,Koti,"Nikhil Siddharth, Madalsa Sharma, Mohammad Ali, A.V.S. Subramanyam, Dharmavarapu Subramanyam, Jayaprakash Reddy, Siva Reddy, Raghu Babu, M.S. Narayana, Gautam Raju"
Ranga the Donga,December,2010.0,G.V. Sudhakar Naidu,"Godfather Films, Golden Lion Films",Chakri,"Srikanth, Vimala Raman, Ramya Krishnan, Jayaprakash Reddy, Chalapathi Rao, Suman Shetty, Telangana Sakuntala, Bhuvaneswari, Sakshi Shivanand, Gautam Raju"
Mirapakai,January,2011.0,Harish Shankar,Yellow Flowers,S. Thaman,"Ravi Teja, Richa Langella, Deeksha Seth, Prakash Raj, Santosh Kumar Yadav, Kota Srinivasa Rao, Sunil, Chandramohan, Mohammad Ali, Dharmavarapu Subramanyam"
Anaganaga O Dheerudu,January,2011.0,Prakash Kovelamudi,"Walt Disney Pictures, A Bellyful of Dreams Entertainment, Abode",Salim Merchant,"Siddharth, Shruti Haasan, Lakshmi Manchu, Ravi Babu, Harshitha, Tanikella Bharani, Venkat Ramji, Mohammad Ali, Brahmanandam, Gunjan Bakshi"
Ala Modalaindi,January,2011.0,B.V. Nandini Reddy,Sri Ranjith Movies,Kalyana Ramana,"Nani, Nithya Menen, Sneha Ullal, Kriti Kharbanda, Pragathi, Thagubothu Ramesh, Rohini, Sivannarayana, Narayana Rao Uppalapati, Ashish Vidyarthi"
Wanted,January,2011.0,B.V.S. Ravi,Bhavya Creations,Chakri,"Gopichand, Deeksha Seth, Chandramohan, Jayasudha, Prakash Raj, Banerjee, Shafi, Subbaraju, Brahmanandam, Aahuthi Prasad"
Golkonda High School,January,2011.0,Mohana Krishna Indraganti,Art Beat Capital,Kalyana Ramana,"Sumanth, Swathi Reddy, Subbaraju, Tanikella Bharani, Shafi, Jhansi, Hema, Harimohan Paruvu, Rachakonda Vidyasagar, Chandramouli Kalyana Chakravarthy"
Prema Kavali,February,2011.0,Vijay K. Bhaskar,"Max India Productions, RR Moviemakers, Rhodium Entertainments",Anup Rubens,"Aadi, Isha Chawla, Dev Gill, Nassar, Sindhu Tolani, Shafi, Supreet, Mohammad Ali, Brahmanandam"
Nadunisi Naaygal,February,2011.0,Gautham Vasudev Menon,"Photon Kathaas, R.S. Infotainment",,"Veera Bahu, Sameera Reddy, Deva, Swapna Abraham, Ashwin Kakumanu, Samantha Ruth Prabhu"
Gaganam,February,2011.0,Radha Mohan,"Goldmines Telefilms, Matinee Entertainments, Sri Venkateswara Creations",Pravin Mani,"Nagarjuna Akkineni, Prakash Raj, Poonam Kaur, Harshavardhan, Brahmanandam, Sana Khan, Bharath Reddy, Melkote, Sri Lakshmi, Ravi Prakash"
Vastadu Naa Raju,February,2011.0,"Hemant Madhukar, Gopireddy Mallikarjuna Reddy",24 Frames Factory,Mani Sharma,"Vishnu Manchu, Taapsee Pannu, Prakash Raj, Tanikella Bharani, Brahmanandam, Satya Krishnan, Jeeva, Ramaprabha, Sayaji Shinde, Ajay"
Katha Screenplay Darsakatvam: Appalaraju,February,2011.0,Ram Gopal Varma,Shreya Productions,Koti,"Sunil, Swathi Reddy, Sakshi Gulati, Brahmanandam, Sudha, Tanikella Bharani, M.S. Narayana, Dharmavarapu Subramanyam, Venu Madhav, Kovai Sarala"
Kudirithe Kappu Coffee,February,2011.0,Ramana Salwa,Moonwater Pictures,Yogeshwar Sharma,"Varun Sandesh, Tanikella Bharani, M.S. Narayana, Suma Bhattacharya, Srinivasa Rao Bhimaneni, Sivannarayana, Sukumari"
Sakthi,April,2011.0,Meher Ramesh,Vyjayanthi Movies,Mani Sharma,"N.T. Rama Rao Jr., Ileana D'Cruz, Sonu Sood, Jackie Shroff, Prabhu, Nassar, Manjari Fadnnis, Daniel Kaleb, S.P. Balasubrahmanyam, Vidyut Jammwal"
Dongala Mutha,March,2011.0,Ram Gopal Varma,"Shreya Productions, Goldmines Telefilms",Amar Mohile,"Ravi Teja, Charmme Kaur, Prakash Raj, Lakshmi Manchu, Sunil, Brahmanandam, Subbaraju, Brahmaji, Supreet, Satya Prakash"
Aha Naa Pellanta,March,2011.0,Veerabhadram,"A.K. Entertainments India, AK Entertainments",Koti,"Allari Naresh, Ritu Barmecha, Brahmanandam, Srihari, Aahuthi Prasad, Dharmavarapu Subramanyam, M.S. Narayana, Satyam Rajesh, Nagineedu, Anita Hassanandani Reddy"
Raaj,March,2011.0,V.N. Aditya,Kumar Brothers Cinema,Koti,"Sumanth, Priyamani, Vimala Raman, Giri Babu, Gundu Hanumantha Rao, Mohammad Ali, Ajay, Srinivasa Reddy, Satyam Rajesh, Telangana Sakuntala"
Gangaputrulu,March,2011.0,Suneel Kumar Reddy,Sri Sai Laxmi Films,Pravin Immadi,"Gayatri, Jeeva, Mahesh, Bheemili Rajaneekanth, Rao Ramesh, Ramki, L B Sriram, Subbaraju, Tanmai, Samudram Venkatesh"
Mr Perfect,April,2011.0,"Dasaradh, David Kassman, Guy Sheetrit","Goldmines Telefilms, Sri Venkateswara Creations",Devi Sri Prasad,"Prabhas, Kajal Aggarwal, Prakash Raj, Taapsee Pannu, Nassar, Sayaji Shinde, K. Viswanath, Murali Mohan, Tulasi, Pragathi"
Teen Maar,April,2011.0,Jayant Paranji,"Dakshaa, Parameshwara Arts, Parameswara Arts",Mani Sharma,"Pawan Kalyan, Trisha Krishnan, Kriti Kharbanda, Mukesh Rishi, Paresh Rawal, Pragathi, M.S. Narayana, Sudha, Mohammad Ali, Tanikella Bharani"
Nenu Naa Rakshasi,April,2011.0,Puri Jagannadh,Sri Lakshmi Narasimha Productions,Anup Rubens,"Rana Daggubati, Ileana D'Cruz, Mohammad Ali, Surya, Mumait Khan, Abhimanyu Singh, Nagineedu, Subbaraju, Kota Srinivasa Rao, Aahuthi Prasad"
100% Love,May,2011.0,Sukumar,Geetha Arts,Devi Sri Prasad,"Naga Chaitanya Akkineni, Tamannaah Bhatia, Tara Alisha, K.R. Vijaya, Vijayakumar, V.K. Naresh, Dharmavarapu Subramanyam, Chitram Seenu, M.S. Narayana, Nandu Vijay Krishna"
Veera,May,2011.0,Ramesh Varma,Sanvi Productions,S. Thaman,"Ravi Teja, Kajal Aggarwal, Taapsee Pannu, Shaam, Sridevi Vijaykumar, Chalapathi Rao, Prakash Raj, Roja, Nagendra Babu, Brahmanandam"
Seema Tapakai,May,2011.0,G. Nageswara Reddy,Wellfare Creations,Vandemataram Srinivas,"Allari Naresh, Shamna Kasim, Vennela Kishore, Sudha, Sayaji Shinde, Jayaprakash Reddy, Ravi Prakash, Nagineedu, Brahmanandam, Surekha Vani"
Badrinath,June,2011.0,V.V. Vinayak,Geetha Arts,M.M. Keeravani,"Allu Arjun, Tamannaah Bhatia, Prakash Raj, Kelly Dorji, Brahmanandam, Tanikella Bharani, Dharmavarapu Subramanyam, M.S. Narayana, Pragathi, Sudha"
Maaro,June,2011.0,Siddique,Shri Rajeshwari Films,Mani Sharma,"Nithiin, Meera Chopra, Abbas, Kota Srinivasa Rao, Mohammad Ali, Raghu Babu, Chalapathi Rao, Venu Madhav, Gangadhar Panday, Ramaprabha"
Nagaram Nidra Potunna Vela,June,2011.0,Prem Raj,Gurudeva Creations,Yasho Krishna,"Charmme Kaur, Jagapathi Babu, Satya Prakash, Gopalakrishna Paruchuri, Siva Reddy, Chandramohan, Babu Mohan, Uttej, Aahuthi Prasad"
Virodhi,July,2011.0,Neelakanta,"Meka Media, Goldmines Telefilms",Ravindra Prasad Patnaik,"Meka Srikanth, Kamalinee Mukherjee, Ajay, Aahuthi Prasad, Kamal Kamaraju, Nagineedu, Sivaji Raja, Ravi Varma, Srinivas C.C., Sri Ramya"
Mayagadu,July,2011.0,Dileep Polan,Sri Samba Siva Creations,Chakri,"Charmme Kaur, Venu Thottempudi, Mallikharjunarao, Mohammad Ali, Satya Krishnan, Delhi Rajeshwari, Chitram Seenu, Sayaji Shinde, Ravi Babu, A.V.S. Subramanyam"
Kandireega,August,2011.0,Santosh Srinivas,"Sri Saiganesh Productions, Goldmines Telefilms",S. Thaman,"Ram Pothineni, Hansika Motwani, Aksha Pardasany, Sonu Sood, Jayaprakash Reddy, M.S. Narayana, Brahmanandam, Ramaprabha, Swathi Reddy, Chandramohan"
Dhada,August,2011.0,Ajay Bhuyan,Kamakshi Studio,Devi Sri Prasad,"Naga Chaitanya Akkineni, Kajal Aggarwal, Srikanth, Kelly Dorji, Rahul Dev, Samiksha Oswal, Brahmanandam, Kuldeep Ruhil, Venu Madhav, Dharmavarapu Subramanyam"
Daggaraga Dooranga,August,2011.0,Ravi C. Kumar,Sudha Cinema,Raghu Kunche,"Sumanth, Vedhika, Sindhu Tolani, Pragathi, Brahmanandam, Aahuthi Prasad, Raghu Babu, Ajay, Krishna Bhagavan, Satyam Rajesh"
Money Money More Money,August,2011.0,J.D. Chakravarthi,"Chekravarthy Productions, First Choice Media House, Reliance Entertainment",Chakri,"Brahmanandam, J.D. Chakravarthi, Tara Alisha, Gajala, Brahmaji, Chalapathi Rao, Flora Saini, Subbaraju, Rajeev Kanakala, Venu Madhav"
Mugguru,August,2011.0,V.N. Aditya,Suresh Productions,Koti,"Navdeep, Srinivas Avasarala, Raahul, Reema Sen, Shraddha Das, Sowmya Bollapragada, Mohammad Ali, Mohan Babu, Brahmaji, Brahmanandam"
Mathru Devo Bhava,August,2011.0,M. Nagendra Kumar,Hari Productions,Kasyap Sunil,"Kovai Sarala, Archana Shastry, Suman Shetty, Shivajiraja, Suhasini"
Dookudu,September,2011.0,Sreenu Vaitla,"14 Reels Entertainment, Krishna Productions, HPR Entertainment",S. Thaman,"Mahesh Babu, Samantha Ruth Prabhu, Sonu Sood, Prakash Raj, Kota Srinivasa Rao, Sayaji Shinde, Brahmanandam, Nassar, Tanikella Bharani, Rajeev Kanakala"
Madatha Kaaja,September,2011.0,Seetaramaraju Dantuluri,"Goldmines Telefilms, Sri Ranjith Movies",Sri Vasanth,"Allari Naresh, Sneha Ullal, Chalapathi Rao, Vennela Kishore, Dharmavarapu Subramanyam, Jayaprakash Reddy, M.S. Narayana, Subbaraju, Aahuthi Prasad, Ashish Vidyarthi"
Oosaravelli,October,2011.0,Surender Reddy,"Sri Venkateswara Cine Chitra, Goldmines Telefilms",Devi Sri Prasad,"N.T. Rama Rao Jr., Tamannaah Bhatia, Prakash Raj, Vidyut Jammwal, Payal Ghosh, Shaam, Jayaprakash Reddy, Rahman, Sayaji Shinde, Murli Sharma"
Pilla Zamindar,October,2011.0,Ashok G.,Shri Shailendra Cinemas,V. Selva Ganesh,"Nani, Haripriya, Bindhu Madhavi, Rao Ramesh, Nagineedu, M.S. Narayana, Vennela Kishore, Melkote, Meghna Naidu, Srinivas Avasarala"
Sri Rama Rajyam,November,2011.0,Bapu,Sri Saibaba Movies,Ilaiyaraaja,"Akkineni Nageswara Rao, Nandamuri Balakrishna, Nayanthara, Meka Srikanth, Vindu Dara Singh, Sai Kumar, K.R. Vijaya, Sana, Murali Mohan, Brahmanandam"
Mogudu,November,2011.0,Krishna Vamsi,"Goldmines Telefilms, Sri Lakshmi Narasimha Productions",Babu Shankar,"Gopichand, Taapsee Pannu, Rajendra Prasad, Shraddha Das, V.K. Naresh, Roja, Harshavardhan, Krishnudu, Venu Madhav, Aahuthi Prasad"
Oh My Friend,November,2011.0,Venu Sriram,Sri Venkateswara Creations,Anil R.,"Siddharth, Shruti Haasan, Hansika Motwani, Navdeep, Tanikella Bharani, Mohammad Ali, Raghu Babu, Lakshmy Ramakrishnan"
Nuvvila,November,2011.0,Ravi Babu,Usha Kiron Movies,Sekhar Chandra,"Hawwish, Sarayu Mohan, Yami Gowtham, Prasad Barve, Vijay Deverakonda, Radha Kumari, Ravi Babu, M.M. Keeravani, Koti, Kalyana Ramana"
It's My Love Story,November,2011.0,Madhura Sreedhar,"Multi Dimension Entertainments, Shiridi Sai Combines",Sunil Kashyap,"Arvind Krishna, Nikitha Narayan, Jayasudha, Sarath Babu, Pragathi, Kasi Viswanath, Vennela Kishore, Ravi Kumar Panasa, Kalpika Ganesh, Harish Koyalagundla"
Solo,November,2011.0,Parasuram,SVK Cinema,Mani Sharma,"Nara Rohith, Nisha Agarwal, Prakash Raj, Jayasudha, Sayaji Shinde, Srinivasa Reddy, Rao Ramesh, Mohammad Ali, M.S. Narayana, Ravi Prakash"
Veedu Theda,November,2011.0,Chinni Krishna,Lakshmi Narasimha Entertainments,Chakri,"Nikhil Siddharth, Suman, Sayaji Shinde, Brahmanandam, Mohammad Ali, M.S. Narayana, Venu Madhav, Raghu Babu, Krishna Bhagavan, Bharat Kumar"
Panjaa,December,2011.0,Vishnuvardhan,"Arka Mediaworks, Sanghamitra Arts",Yuvan Shankar Raja,"Pawan Kalyan, Sarah Jane Dias, Anjali Lavania, Jackie Shroff, Atul Kulkarni, Brahmanandam, Mohammad Ali, Subbaraju, Adivi Sesh, Jhansi"
Rajanna,December,2011.0,Vijayendra Prasad,Annapurna Studios,M.M. Keeravani,"Nagarjuna Akkineni, Sneha, Shweta Menon, Nassar, Mukesh Rishi, Ajay, Pradeep Singh Rawat, Supreet, Ravi Kale, Annie"
Bejawada,December,2011.0,Vivek Krishna,"Goldmines Telefilms, Shreya Productions",Kumar Bapi,"Naga Chaitanya Akkineni, Amala Paul, Prabhu, Kota Srinivasa Rao, Ajay, Abhimanyu Singh, Subhalekha Sudhakar, Mukul Dev, Aahuthi Prasad, Ashok Kumar K."
